8,00:03:19.87
9,00:04:44.905
10,00:06:46.507
11,00:08:19.835
12,00:11:59.241
13,00:15:47.002
14,00:19:46.141
15,00:23:34.110
17,00:38:13.368
21,01:18:46.377 
